DateTime,Product,Price
2025-05-25 18:21:22,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX",139990.0
2025-05-25 18:21:34,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight",119900.0
2025-05-25 18:23:23,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX",139990.0
2025-05-25 18:23:35,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight",119900.0
2025-05-25 18:23:57,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX",139990.0
2025-05-25 18:24:09,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight",119900.0
2025-05-25 18:36:32,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","₹1,39,990.00",https://www.amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/
2025-05-25 18:36:59,Unknown Product,N/A,https://www.amazon.in/Apple-2025-MacBook-Air-13-inch/dp/B0XYZ12345/
2025-05-25 18:37:38,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","₹1,39,990.00",https://www.amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/
2025-05-25 18:37:48,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight","₹1,19,900.00",https://www.amazon.in/dp/B0DZD8QJBH?th=1
2025-05-25 19:25:39,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","₹1,39,990.00",https://www.amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/
2025-05-25 19:25:48,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight","₹1,19,900.00",https://www.amazon.in/dp/B0DZD8QJBH?th=1
2025-05-25 21:25:54,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","₹1,39,990.00",https://www.amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/
2025-05-25 21:26:04,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight","₹1,19,900.00",https://www.amazon.in/dp/B0DZD8QJBH?th=1
2025-05-25 21:48:39,"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","₹1,39,990.00",https://www.amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/
2025-05-25 21:48:50,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Midnight","₹1,19,900.00",https://www.amazon.in/dp/B0DZD8QJBH?th=1
